M,I,v,S,A,E_f,V_i,V_f,Q_i,Q_f,Ierr,g_i,g_f,DOI
26,1,256.24442699999963,5.6921410224864045e-34,7.2843e-06,4790.350713,0 1 0 0 0 0 2A1g,0 1 0 1 0 1 0A2u,14A1g  0A1g,15A1u  0A2g,0.0010816653826391967,29,31,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,256.84256300000015,2.0796912002713707e-43,4.9987e-07,9034.35651,2 1 0 0 1 0 1E2u,0 2 0 0 2 1 0E1g,23A2u  2E2g,22A2g  1E1g,0.0006403124237432849,141,135,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,258.4790359999997,3.4757840919574825e-34,1.6491999999999998e-06,4823.294124,0 1 0 0 0 0 2A1g,0 1 0 0 1 0 1E2u,15A2g  0A2g,16A2u  2E2g,0.0005385164807134503,93,99,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,258.69894100000056,1.8415382428596536e-41,2.6585e-06,8189.139090000001,0 2 0 0 2 1 0E1u,0 2 0 0 1 0 1E2g,6A2u  1E1g,7A2g  2E2g,0.000848528137423857,39,45,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,258.8721920000007,3.3724242151436e-41,8.816799999999999e-07,7761.745076,2 1 0 1 0 0 0E1u,1 1 0 2 0 2 0A1g,4A2u  1E1g,5A2g  0A2g,0.001,27,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,258.87470399999984,2.887210931301107e-44,5.225800000000001e-10,7761.745076,0 2 0 0 1 0 1E2u,1 1 0 2 0 2 0A1g,6A2u  2E2g,5A2g  0A2g,0.0010630145812734648,39,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,258.9435819999999,2.0104653402218938e-36,1.1279000000000002e-07,5091.177292,0 1 0 0 2 0 1E1u,0 1 0 0 1 0 1E2g,14A1u  1E1g,15A1g  2E2g,0.0007810249675906653,29,31,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,259.8739199999991,3.0375143508277385e-40,5.3928e-07,7155.519668000001,1 1 0 0 0 3 0E1g,0 2 0 0 0 0 1E1u,3A2g  1E1g,3A2u  1E1g,0.0009219544457292888,21,21,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,260.724639,1.1223311757580761e-40,4.8188e-06,7740.677058,0 2 0 0 2 0 0A2u,1 1 0 2 0 2 0A1g,2A2u  0A1g,3A2g  0A2g,0.0009219544457292888,15,21,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,263.00941000000057,5.7925075273443826e-43,8.6812e-06,9202.255894,2 1 0 0 1 0 1E2u,0 2 0 0 2 1 0E1g,26A1u  2E2g,25A1g  1E1g,0.000565685424949238,53,51,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
